REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15100391,3921,Theft by Unlawful Taking or Disposition.,06/01/2015,00:01,Allegheny Sq E,Allegheny Center,1,,
OFFENSE 2.0,15097777,9488,False  Burglar Alarm,06/01/2015,00:15,1900 block Mountford Ave,Fineview,1,,
ARREST,15088094,2701,Simple Assault.,06/01/2015,00:40,Rhine Pl,Spring Hill-City View,1,29,F
OFFENSE 2.0,15097787,9999,9999 - (Misc. Incident): ,06/01/2015,00:53,Woods Run Ave & Brighton Rd,Brighton Heights,1,,
OFFENSE 2.0,15098191,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,06/01/2015,01:01,1600 block Pennsylvania Ave,Chateau,1,,
OFFENSE 2.0,15097813,9488,False  Burglar Alarm,06/01/2015,02:10,1400 block Orchlee St,Brighton Heights,1,,
OFFENSE 2.0,15098362,3921,Theft by Unlawful Taking or Disposition.,06/01/2015,04:00,Allegheny Center Mall,Allegheny Center,1,,
OFFENSE 2.0,15098226,3921,Theft by Unlawful Taking or Disposition.,06/01/2015,06:45,Allegheny Center Mall,Allegheny Center,1,,
OFFENSE 2.0,15098019,3934,Theft from Vehicle,06/01/2015,07:00,100 block Rhine Pl,Spring Hill-City View,1,,
OFFENSE 2.0,15097975,3745,Accidents Involving Damage to Unattended Veh.or Prop.,06/01/2015,09:30,600 block Chautauqua St,Perry South,1,,
OFFENSE 2.0,15097976,9488,False  Burglar Alarm,06/01/2015,09:53,2500 block N Charles St,Perry South,1,,
ARREST,14066031,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,06/01/2015,10:37,1300 block Chicago St,Northview Heights,1,22,M
ARREST,14066031,3502,Burglary.,06/01/2015,10:37,1300 block Chicago St,Northview Heights,1,22,M
OFFENSE 2.0,15098087,9999,9999 - (Misc. Incident): ,06/01/2015,13:14,3700 block Wapello St,Brighton Heights,1,,
OFFENSE 2.0,15098137,3934,Theft from Vehicle,06/01/2015,13:50,Drovers Way & N Taylor Ave,Central Northside,1,,
OFFENSE 2.0,15098141,3736,Reckless Driving,06/01/2015,15:05,1000 block River Ave,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15098959,3502,Burglary.,06/01/2015,15:56,1200 block Boyle St,Central Northside,1,,
OFFENSE 2.0,15098185,3304,Criminal Mischief.,06/01/2015,16:25,Chestnut St & Zona St,East Allegheny,1,,
OFFENSE 2.0,15098278,9489,Found Property,06/01/2015,17:40,Dunlap St,Perry North,1,,
OFFENSE 2.0,15098377,3929,Retail Theft.,06/01/2015,18:30,800 block Pennsylvania Ave,California-Kirkbride,1,,
ARREST,15098326,13(a)(16),Possession of Controlled Substance,06/01/2015,19:33,Brahm St & Solar St,Spring Hill-City View,1,50,F
OFFENSE 2.0,15098326,13(a)(16),Possession of Controlled Substance,06/01/2015,19:33,Brahm St & Solar St,Spring Hill-City View,1,,
